id,sentiment,text,user,label
165,positive,"#dressing, #acting, #behaving, #thinking, #speaking, #walking 👗 like an #European #certainly doesn't make u 1! #few… https://t.co/2iy9EE2iK1",kingsolomonferb,anxiety
166,neutral,#thinking https://t.co/fTFB7f7bcE,ackrmncl,anxiety
167,negative,"I'm always afraid of loosing the people I have, but sometimes I ask myself, is there anyone who is afraid of loosin… https://t.co/Nq82MnNTzI",NehaGup69662257,anxiety
168,positive,What this #country needs is a giant #social #media campaign where #critical #reasoning is taught! Think Sesame Stre… https://t.co/Dp69NvCRQQ,Nand082,anxiety
169,neutral,"RT @manabduch: Education is not the learning of the facts, but the training of the mind to think.\n\n- Albert Einstein\n\n#Dailyquote #brainyqu…",smile91113144,anxiety
170,neutral,eu acho que eu conheço um deles... #thinking https://t.co/qBqbmOEsNv,kiniex,anxiety
171,positive,Acceptance is the road to all the positive change.\n❤️\n\n.\n\n.\n\n.\n\n#acceptance #system #family #society #awarness… https://t.co/dG7rs0bGfs,harkirat_dr,anxiety
172,positive,RT @marshawright: 🤩 Wanna revamp your #affirmations?\n\nLook through the #ThinkBIGSundayWithMarsha for real #motivation\n\nRemember to send Pos…,pittman_nairobi,anxiety
173,neutral,"Education is not the learning of the facts, but the training of the mind to think.\n\n- Albert Einstein\n\n#Dailyquote… https://t.co/nYq7Dcpd0z",manabduch,anxiety
174,neutral,RT @LucDeFort: Even when there is unbalance.\n        Always be the bigger woman or man.\n\n#Problems🌛 #Solutions 🌞 #Thinking ✍️ https://t.co/…,guilbherte,anxiety
175,positive,RT @Heino1Olli: Interesting new read for friends of critical thinking by ⁦@sapinker⁩: “Rationality does a very good job of delivering on it…,timorainio,anxiety
176,neutral,@onepbsucks #thinking,ftbono,anxiety
177,positive,RT @marshawright: 🤩 Wanna revamp your #affirmations?\n\nLook through the #ThinkBIGSundayWithMarsha for real #motivation\n\nRemember to send Pos…,DanCas2,anxiety
178,positive,RT @marshawright: 🤩 Wanna revamp your #affirmations?\n\nLook through the #ThinkBIGSundayWithMarsha for real #motivation\n\nRemember to send Pos…,brianeltorro,anxiety
179,positive,🤩 Wanna revamp your #affirmations?\n\nLook through the #ThinkBIGSundayWithMarsha for real #motivation\n\nRemember to se… https://t.co/vBrNSFKOXl,marshawright,anxiety
180,negative,"“Critical Thinking: Why Is It So Hard To Teach?” [PDF, 2007], Daniel T. Willingham, American Educator (… https://t.co/Ebwbp3aWUd",rmathew4tw,anxiety
181,positive,Helllooo Twitter🌼\nSome new wisdom for u guys! \n-&gt; Your stomach only know potatoes as mashed potato \n\n✨Have a great… https://t.co/736vu9H7Hv,Tia_Spark,anxiety
182,neutral,"@RanaAyyub This is the reality of our society.\nWe need to change our thinking, ideas and thoughts.🙏🇮🇳\nMahatma Gandh… https://t.co/e0YtsEdgo5",socialistsaheb,anxiety
183,negative,You can have a long #life if you #change your way of #Thinking.,TheDavidValois,anxiety
184,positive,RT @Bala_justlift: Although our thoughts seem very real to us they are not us.\nDon’t get caught up in ruminating the past or worrying about…,bookiesthoughts,anxiety
185,neutral,Presentaciones dinámicas con Prezi  \n5 horas en total | 3347 students  | September 2021 release \n\n🆓 LINK =&gt;… https://t.co/QwzIJ2fILX,comidoc,anxiety
186,positive,@KeniaMattis So 🤔 wat u #thinking isn't #possible for #action,gloxgoldnchildr,anxiety
187,positive,YES AND THANK YOU SO\nMUCH.\n\n- lets start with this. 🧿\n#thewritingcow #TWC2021 #words #sunoh #thoughts #amwriting… https://t.co/LFSG2zycg7,thewritingcow19,anxiety
188,negative,today i’m #thinking about how we could’ve gotten sapnap playing life is strange we could’ve seen how he made the bi… https://t.co/4VvKYugg5Z,alivebur,anxiety
189,negative,RT @dlhampton: 10 Common Negative Thinking Patterns and How You Can Change Them  https://t.co/kRYGydGSEX\n\nNegative #thinking can cause #dep…,vivs1man,anxiety
190,positive,"#time ., is #success … #strategic #thinking .., #chess #play #leverage #winning https://t.co/xzlsbN0qAx",Miyckoal,anxiety
191,neutral,@AirIanes just seen the episode where they put the raid fits on and now Im #thinking,therealHyperK,anxiety
192,neutral,日本の若者たち、#ワクチン接種 するの？ 考えよう！#thinking #生きる #ワクチンパスポート反対 https://t.co/egB2UzfSk0,567thinking,anxiety
193,negative,#cookingthoughts - Boo’s Perspective 😈\n\n#cooking #thoughts #food #thinking #grill #mindset #burger #chicken #pork… https://t.co/un0zvVmEn1,TimoLindsey,anxiety
194,positive,2 gecedir yurda çok geç giriş yapıyorum acb oda arkadaşım uyanıyor mudur #thinking,swingyypie,anxiety
195,positive,"#SALE #Thinking of You Blank #Card , ##Bird , #Hearts , #Love , #Caring , M by PrintedCards https://t.co/xloUwUZltr via @Etsy",AAmazingPaper,anxiety
196,neutral,¿Se asoma? ¿o no se asoma?\nTal vez a Charlie tampoco le gusta los lunes. \n\n#lunes #monday #charlie #perro #dog… https://t.co/kAXpijWYAS,ecollb,anxiety
197,positive,I #Think - #Positive #Thinking #iPhone12 #Case https://t.co/Pcfj6kqxiv via @zazzle  #zazzlemade #zazzle… https://t.co/zrXOIqIJtG,Evie_Hourglass,anxiety
198,negative,RT @MondayBlogs: Is Left Brain vs. Right Brain A False Choice? \nYes. Here’s Why... \nhttps://t.co/NfouCwCgB0 \nby @MarcStrausBooks \n\nWhile th…,BadRedheadMedia,anxiety
199,negative,RT @MondayBlogs: Is Left Brain vs. Right Brain A False Choice? \nYes. Here’s Why... \nhttps://t.co/NfouCwCgB0 \nby @MarcStrausBooks \n\nWhile th…,RachelintheOC,anxiety
200,negative,RT @MondayBlogs: Is Left Brain vs. Right Brain A False Choice? \nYes. Here’s Why... \nhttps://t.co/NfouCwCgB0 \nby @MarcStrausBooks \n\nWhile th…,RomPromoCentral,anxiety
201,negative,RT @MondayBlogs: Is Left Brain vs. Right Brain A False Choice? \nYes. Here’s Why... \nhttps://t.co/NfouCwCgB0 \nby @MarcStrausBooks \n\nWhile th…,WomenPromo,anxiety
202,negative,RT @MondayBlogs: Is Left Brain vs. Right Brain A False Choice? \nYes. Here’s Why... \nhttps://t.co/NfouCwCgB0 \nby @MarcStrausBooks \n\nWhile th…,NaNoProMo,anxiety
203,negative,RT @MondayBlogs: Is Left Brain vs. Right Brain A False Choice? \nYes. Here’s Why... \nhttps://t.co/NfouCwCgB0 \nby @MarcStrausBooks \n\nWhile th…,MondayBlogs,anxiety
204,neutral,gente vcs apoiariam fanarts de kpop nesta conta pois penso mto em fazer dos meus grupos favs #thinking #pensando,misiarti,anxiety
205,negative,RT @MondayBlogs: Is Left Brain vs. Right Brain A False Choice? \nYes. Here’s Why... \nhttps://t.co/NfouCwCgB0 \nby @MarcStrausBooks \n\nWhile th…,indiebookpromos,anxiety
206,negative,RT @MondayBlogs: Is Left Brain vs. Right Brain A False Choice? \nYes. Here’s Why... \nhttps://t.co/NfouCwCgB0 \nby @MarcStrausBooks \n\nWhile th…,BookHelpForYou,anxiety
207,negative,RT @MondayBlogs: Is Left Brain vs. Right Brain A False Choice? \nYes. Here’s Why... \nhttps://t.co/NfouCwCgB0 \nby @MarcStrausBooks \n\nWhile th…,BkMarketingChat,anxiety
208,negative,RT @MondayBlogs: Is Left Brain vs. Right Brain A False Choice? \nYes. Here’s Why... \nhttps://t.co/NfouCwCgB0 \nby @MarcStrausBooks \n\nWhile th…,MarcStrausBooks,anxiety
209,neutral,Every person in a #leader or #manager’s role needs to remind themselves of the importance of going into the field a… https://t.co/TdBTi5kvZ3,LeonarderRod,anxiety
210,positive,"#Thinking. Are you doing enough thinking, reflecting and planning for a better future? #Trends, #Issues, #Planning. https://t.co/knv1lbz3SC",FAQSupport,anxiety
211,positive,Omg wait do you guys think Trump was really hearing about RBG death for the first time in that clip or someone had… https://t.co/er09KeWpv5,butterfroot,anxiety
212,positive,RT @DouglasGardham: The blog leading up to the latest one. A Changing Frame-Of-Reference by Douglas Gardham: https://t.co/dBcG5Qxklj @IPlea…,cipherEquality,anxiety
213,neutral,#thinking https://t.co/rlpOt5HEAc,alovecassette,anxiety
214,positive,"I'm not #AI. Easily #verifiable. I do not belong to any #group, #clandestine or open. I'm not into #Elitism or asso… https://t.co/PmGeXtHx54",horizonpolaris,anxiety
215,positive,I EVER AND EVER SAY THAT #I #AM #FOR #MATHEMATICS ONLY AND THEN OKKKAY OR I TALK ABOUT SUPER MINDED ALBERT EINSTEIN… https://t.co/w9LLle87qM,shravansaxenaxz,anxiety
216,positive,"Someone said: Let's simplify our tasks to the maximum, but right up to the previous level where efficiency disappea… https://t.co/5x8rlh5Thw",adholife,anxiety
217,negative,"THEN AS HE OR I IS A #THINKING #GUY OR #THINK AND THINK,DUE TO THIS ONLY,HE OR I SHOULD OPT THE MATHEMATICS SINCE CLASS11TH!!! BUT I-------",shravansaxenaxz,anxiety
218,positive,I lay upon #stitched seams\n#thinking.\n\nI #miss the early morning rise of your #eyes..,William_knight9,anxiety
219,negative,Need to sleep but wide awake! Over thinking! #sleep #thinking #bed https://t.co/VqoL9k6nVh,Bradlah1,anxiety
220,positive,RT @passiton_values: It's a good idea to think through what we say. #empathy #passiton\n.\n.\n.\n#values #valuesmatter #thinkpositive #thinking…,sumo813,anxiety
221,neutral,when your brain just dont want to switch off #thinking 🤔🤔🤔,Bilski1508,anxiety
222,neutral,"RT @JMP_SEJ: 🌸Go check out this video on our YouTube channel, https://t.co/xRDFQZjA4C 🌸\n-\n-\n#theselfempowermentjourney #jacquelinemaryphill…",natrellabot,anxiety
223,neutral,"🌸Go check out this video on our YouTube channel, https://t.co/xRDFQZjA4C 🌸\n-\n-\n#theselfempowermentjourney… https://t.co/Pi3HfL2hUu",JMP_SEJ,anxiety
224,positive,"Someone said: Let's simplify our tasks to the maximum, but right up to the previous level where efficiency disappea… https://t.co/AztLXu2V9i",adholife,anxiety
225,neutral,#thinking https://t.co/RrMizzlp3x,helixruler,anxiety
226,neutral,"🌸Go check out this video on our YouTube channel, https://t.co/dVqkXXOHXP 🌸\n-\n-\n#theselfempowermentjourney… https://t.co/LObP1bOsMr",JMP_SEJ,anxiety
227,neutral,"🌸Go check out this video on our YouTube channel, https://t.co/pOZMGYNWxj 🌸\n-\n-\n#theselfempowermentjourney… https://t.co/u6ViyIm0PD",JMP_SEJ,anxiety
228,neutral,"🍍Go check out this video on our YouTube channel, https://t.co/QEvF660krN 🍍\n-\n\n#theselfempowermentjourney… https://t.co/bqs0zPN4UX",JMP_SEJ,anxiety
229,positive,"RT @LindaBerman4: The aim is to find a balance between thinking and feeling in order to have healthy empathy, develop successful relationsh…",KalenMarquis,anxiety
230,positive,"The aim is to find a balance between thinking and feeling in order to have healthy empathy, develop successful rela… https://t.co/AeIqlrF63H",LindaBerman4,anxiety
231,neutral,#Thinking!,8pack2themax,anxiety
232,positive,RT @bw_publishing: #critical #thinking #CommonSense is not #dead #amediting #mystery @GadSaad @jordanbpeterson https://t.co/d6Wr8hqXV5,bw_publishing,anxiety
233,neutral,RT @LucDeFort: Even when there is unbalance.\n        Always be the bigger woman or man.\n\n#Problems🌛 #Solutions 🌞 #Thinking ✍️ https://t.co/…,Jean_MarieJ,anxiety
234,neutral,@minimallossgal #thinking,ramenaretrash,anxiety
235,neutral,#thinking - 🤔💭,Menonomics1,anxiety
236,neutral,RT @HIDensityLiving: Do the Work to Think - Part 2. Listen Now! https://t.co/Ei2cp5CSUG\n\n#man #nature #humanity #thinking #self #body #mind…,HIDensityLiving,anxiety
237,negative,There is no battleground that is vicious like the academic battleground.\n\n#ThoughtsOfANovice\n#ApothegmsAndObservations\n#thinking,ApothegmDaily,anxiety
238,negative,RT @talk2_God: #game #Giveaways #Mentalhealth #motivation #quotes #resilience #strength #thinking #ThinkBIGSundayWithMarsha #Value \n\nGettin…,Tokyo2020_Japan,anxiety
239,positive,Never automatic dismiss the unique experiences from a person with differences. Every voice matter.… https://t.co/OX1zFlbpjb,plusvalueuk,anxiety
240,negative,Can anyone give me ideas of what to draw rn? I am currently having a small anxiety attack and I need to distract my… https://t.co/hhTzyeWSAr,edgy_official,anxiety
241,negative,Ahskdjs oof we got put into groups of 6 at my online preparatory math course and I don't know a single person there… https://t.co/OgFkJxRbnP,suheestudies,anxiety
242,neutral,"I have a doctor’s appointment over the phone tomorrow. Already doctor’s appointments make me nervous, but add a pho… https://t.co/0KVGukFP9N",FailedLDSWoman,anxiety
243,negative,I seriously need to get over my fear of talking to randos on the internet and start voice chatting in games. I've h… https://t.co/56mjHyXWDb,px3stick,anxiety
244,positive,RT @socialanxietysb: Start feeling better about yourself and move from socially anxious to socially at ease.\nDiscover the journey now. Go t…,socialanxietysb,anxiety
245,positive,RT @kellyfairchild2: When someone is public about their emotional and social struggles...don't be a dick. If you have nothing helpful or su…,JayCeeBrown13,anxiety
246,neutral,IN THE STILL OF THE NIGHT #creativewriting #amwriting #writingcommunity #writerslift #mediumwriters #medium… https://t.co/syp2GL0FS5,LonBixby,anxiety
247,neutral,@BunsMomo @YippSugiyama I found out that a lot of us who vtube have #socialanxiety so you're not alone! I hope vtub… https://t.co/5NjlT57N9p,Jen_HayanTokki,anxiety
248,negative,"Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport… https://t.co/2eOLxq06i3",TheHavenMH,anxiety
249,neutral,"#sundayvibes\nI'm all ears, tell me how you feel.\n\n#introvert #introvertproblems #introvertlife #introverts… https://t.co/D5ZTnIwLkx",Tami_growth,anxiety
250,positive,RT @kellyfairchild2: When someone is public about their emotional and social struggles...don't be a dick. If you have nothing helpful or su…,1cb2d592a2754ff,anxiety
251,neutral,#sundayvibes\nYou're not alone in how you feel.\n\n#introvert #introvertproblems #introvertlife #introverts… https://t.co/P2ANsk8EDc,Tami_growth,anxiety
252,positive,RT @kellyfairchild2: When someone is public about their emotional and social struggles...don't be a dick. If you have nothing helpful or su…,shaman2263,anxiety
253,positive,RT @kellyfairchild2: When someone is public about their emotional and social struggles...don't be a dick. If you have nothing helpful or su…,BgpbearsHawkins,anxiety
254,positive,When someone is public about their emotional and social struggles...don't be a dick. If you have nothing helpful or… https://t.co/6Xzsxazw3a,kellyfairchild2,anxiety
255,positive,RT @socialanxietysb: You've done everything to become socially at ease. But why does your social anxiety keep on coming back?\n\nGo here to l…,socialanxietysb,anxiety
256,neutral,#sundayvibes\nLooks like it's going to be one of those days...\n\n#introvert #introvertproblems #introvertlife… https://t.co/eH25SbIQlE,Tami_growth,anxiety
257,neutral,RT @socialanxcorner: The #nationalsocialanxietycenter just created this extensive library of self-help CBT videos for managing #socialanxie…,BeyondTheBlush,anxiety
258,neutral,"I did a lot of things this weekend that cause me anxiety. Had friends visit for the weekend, travelled into the cit… https://t.co/Abte6AKzqU",SADisorder_,anxiety
259,negative,"Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport… https://t.co/4O4XUVwn5d",TheHavenMH,anxiety
260,neutral,💯😂\n\n#builtbymikefitness #chrisredfield #personaltrainer #wellnesscoach #naturalbodybuilder #mensclassicphysique… https://t.co/lBZ2EGnSPY,Built_By_Mike,anxiety
261,neutral,The #nationalsocialanxietycenter just created this extensive library of self-help CBT videos for managing… https://t.co/Qx473uuj9k,socialanxcorner,anxiety
262,positive,"He truly did love me, it was unmistakable. Something my anxiety couldn’t take from me.  FREE On Kindle Unlimited… https://t.co/HfLYBlzWZx",AmythaMcclung,anxiety
263,neutral,"Why be ashamed of something that's not even your fault? Deal with infertility constructively, Begin your journey to… https://t.co/UIkYM2Ro03",MotherhoodIVF,anxiety
264,negative,"Okay!!! \nPeople with social anxiety do your family push you in awkward social circle alone.\nIf, they do how do you… https://t.co/XMDAlMpuIK",DianaYong8,anxiety
265,positive,CBT group for young people 16-18 years who have social anxiety! Some places left! Spread the word! #socialanxiety… https://t.co/9LjDaLDodi,jpccampbell,anxiety
266,positive,"RT @DrReneeIAnders1: A quiz can’t diagnose you, but it can help you identify whether you may have social anxiety: https://t.co/9cxNjz3lXP |…",dave03095814,anxiety
267,positive,"A quiz can’t diagnose you, but it can help you identify whether you may have social anxiety:… https://t.co/ZemFbPNxR3",DrReneeIAnders1,anxiety
268,neutral,[ Hashtags Section ] 😊\n#mentalhealth #mentalhealthmatters #mentalhealthawareness #adhd #adhdmemes #adhdlife… https://t.co/vVYz5cICZ7,chronicallysoob,anxiety
269,positive,"For those living with #adenoidcysticcarcinoma, life is different. How can we deal with associated 'social anxiety'… https://t.co/Tmf4EdhXqx",SGCancerUK,anxiety
270,negative,"Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport… https://t.co/064yRAF6Sw",TheHavenMH,anxiety
271,neutral,#sundayvibes\nWhen life hands you lemons...\n\n#introvert #introvertproblems #introvertlife #introverts #introverted… https://t.co/NGM51w0P52,Tami_growth,anxiety
272,negative,"Duhhh, like… I’m an #introvert #homebody #shytype #socialanxiety #babysteps https://t.co/EqVEjPjQdK",JayeArah,anxiety
273,positive,#deadpool #drawing #doodle #pencil #oilpastel #arttherapy #fun #socialanxiety #depression https://t.co/iZk68FO4cU,milliesmamabear,anxiety
274,positive,#deadpool #drawing #doodle #pencil #oilpastel #arttherapy #fun #socialanxiety #depression https://t.co/S0J59lu9PC,milliesmamabear,anxiety
275,negative,"RT @SocialAnxietyD_: However small the steps you need to take seem, take them. It is essential to be patient and realistic with yourself. T…",fightselective1,anxiety
276,positive,RT @SocialAnxietyD_: An example of this is that this morning before walking in to work I decided I should try and speak loud enough and say…,fightselective1,anxiety
277,positive,Most recent work #21stcentury #teenlife #lifesjourney #change  #pencildrawing  #socialissuesmatter #socialanxiety… https://t.co/JeAuILgLNp,LaMuseCorsetry,anxiety
278,positive,Most recent work #21stcentury #teenlife #lifesjourney #change  #pencildrawing  #socialissuesmatter #socialanxiety… https://t.co/WpaOGZkSTb,LaMuseCorsetry,anxiety
279,positive,Most recent work #21stcentury #teenlife #lifesjourney #change  #pencildrawing  #socialissuesmatter #socialanxiety… https://t.co/Wr0AQyFl7Y,LaMuseCorsetry,anxiety
280,positive,Most recent work #21stcentury #teenlife #lifesjourney #change  #pencildrawing  #socialissuesmatter #socialanxiety… https://t.co/mp7B45aFue,LaMuseCorsetry,anxiety
281,positive,Most recent work #21stcentury #teenlife #lifesjourney #change  #pencildrawing  #socialissuesmatter #socialanxiety… https://t.co/OMcvYHMlO6,LaMuseCorsetry,anxiety
282,negative,"RT @SocialAnxietyD_: However small the steps you need to take seem, take them. It is essential to be patient and realistic with yourself. T…",sunnyoftan,anxiety
283,positive,Most recent work #21stcentury #teenlife #lifesjourney #change  #pencildrawing  #socialissuesmatter #socialanxiety… https://t.co/k7f00fx6Nw,LaMuseCorsetry,anxiety
284,positive,"RT @TheUnitedIndia2: Call 1800-599-0019 to reach KIRAN, a 24/7 national helpline set by the ministry of social justice.\n.\n.\n.\n#letstalk #ta…",andrewmorrisuk,anxiety
285,positive,"Call 1800-599-0019 to reach KIRAN, a 24/7 national helpline set by the ministry of social justice.\n.\n.\n.\n#letstalk… https://t.co/OtFzX5XX8q",TheUnitedIndia2,anxiety
286,positive,"Navy blue sky with a black hill. I made this painting while having a mild social anxiety attack in public, in ArtFl… https://t.co/wQ7x6m11KL",zachnocturnala1,anxiety
287,neutral,Therapist Reacts to A SILENT VOICE https://t.co/bl4fUjUkvG via @YouTube #anime #animetwt #therapist #therapy… https://t.co/xezRELdKlt,impolitespoon18,anxiety
288,negative,"RT @TheHavenMH: Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport #mentalhealth #d…",ADHDing_,anxiety
289,negative,wonder if she had a bf? I'm too shy to ask👀🤔 anywhoo your not here for that your here for games so enjoy the pics.… https://t.co/lMdZsAz1zA,TheJokester_MrJ,anxiety
290,negative,"Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport… https://t.co/Ke2GrgxzBO",TheHavenMH,anxiety
291,neutral,#Introverts #IntrovertLife #Introvert #IntrovertProblems #ISTJ #Recluse #SocialAnxiety #SilenceIsGolden #QuietTime… https://t.co/Lkg4cwah5D,proofreaderjkkk,anxiety
292,neutral,#SaturdayThoughts\nYou have the power within - unleash it.\n\n#introvert #introvertproblems #introvertlife #introverts… https://t.co/j4ibgBGISF,Tami_growth,anxiety
293,negative,"RT @SocialAnxietyD_: However small the steps you need to take seem, take them. It is essential to be patient and realistic with yourself. T…",elixir9,anxiety
294,positive,RT @SocialAnxietyD_: An example of this is that this morning before walking in to work I decided I should try and speak loud enough and say…,elixir9,anxiety
295,neutral,#SaturdayThoughts\n#introvertsbelike... you can't see me...\n\n#introvert #introvertproblems #introvertlife… https://t.co/fpc61Xn2rK,Tami_growth,anxiety
296,positive,An example of this is that this morning before walking in to work I decided I should try and speak loud enough and… https://t.co/ipNkf40tUg,SocialAnxietyD_,anxiety
297,negative,"However small the steps you need to take seem, take them. It is essential to be patient and realistic with yourself… https://t.co/Uowigd9pF5",SocialAnxietyD_,anxiety
298,neutral,#Introverts #IntrovertLife #Introvert #IntrovertProblems #ISTJ #Recluse #SocialAnxiety #SilenceIsGolden #QuietTime… https://t.co/ERHhIOHsuy,proofreaderjkkk,anxiety
299,negative,It's been one of those weeks where I've had to say I'm done 😔😕 And now currently full of cold. 🤧👎 #rubbishweek… https://t.co/RXEZ6K5JVz,milliesmamabear,anxiety
300,negative,Do you ever get nervous when like someone yells from behind “ma’am!” -i automatically assume its me i feel like im… https://t.co/yw9KzO201E,BambisLovers,anxiety
301,positive,ready myself to face even walking in. But step by step I'm doing it. Today I wrote to myself that I can only be mys… https://t.co/t6cMa9fKfy,SocialAnxietyD_,anxiety
302,neutral,START YOUR STAND UP COMEDY CAREER FOR $7.99  Purchase Link: https://t.co/EJGkCFhAI0 C https://t.co/tcRo92PMZS #ufc… https://t.co/OiGSTg33kT,LaughOutNOW,anxiety
303,positive,"If you're wondering how you can deal with your high functioning social anxiety, these tricks are for you 👌… https://t.co/SnL4tOgV34",MakinWellness,anxiety
304,positive,WRITE #ONstrike humble rumble fumble #youngerself esports #HRTech inhale fresh air #selfreminder shutup #breathe… https://t.co/sw8KzwO3SF,TheBOSSofStress,anxiety
305,neutral,#SaturdayThoughts\nGet out there and explore your world!\n\n#introvert #introvertproblems #introvertlife #introverts… https://t.co/c78jQXFV1D,Tami_growth,anxiety
306,positive,RT @QueenGmazgul: Having Social Anxiety At A Party! \n\n#Visage #horror #nonbinary #twitch #gmazgul #gamerthey #socialanxiety #cats #EvilAppl…,QueenGmazgul,anxiety
307,positive,Challenging the narrative that public sector workplace bullies cannot change\n\n#mentalhealth #health #wellness… https://t.co/FOVyZwPZ2e,shoebhakim,anxiety
308,negative,Bullying in the Workplace: A Harbinger of Serious Problems\n\n#mentalhealth #health #wellness #wellbeing… https://t.co/17AiG7FKyq,shoebhakim,anxiety
309,negative,You know what I’ve never liked? Going to churches where you’d have to walk to the front and put your offering in 😅… https://t.co/9sM7VbNoDb,Chill_Ashhh,anxiety
310,neutral,Have you got a bullying culture?\n\n#mentalhealth #health #wellness #wellbeing #healthylifestyle #fitness #nutrition… https://t.co/Aah1CL5nO9,shoebhakim,anxiety
311,negative,"Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport… https://t.co/ld3f3UGcAv",TheHavenMH,anxiety
312,neutral,RT @socialanxietysb: Do you have feelings of #shame or #fear of getting #embarrassed during #SocialInteractions? Hear how my program helped…,socialanxietysb,anxiety
313,negative,"Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport… https://t.co/EzRdFaNlj5",TheHavenMH,anxiety
314,negative,#SaturdayThoughts\nSometimes you just need to break away from the pack...no what I mean?\n\n#introvert… https://t.co/sjJ1Pe2SxI,Tami_growth,anxiety
315,neutral,RT @ideafaktory: #Instagram #Conspiracy!!\n\nWho could have known?\n\n#RunRants\n\n#tech #socialtrends #socialanxiety #selfcare #parenting #kids…,ideafaktory,anxiety
316,neutral,RT @PaintedBraiNews: 4 Ways to cope when you have #SocialAnxiety \n#mentalhealth https://t.co/Hne0AQePlN https://t.co/DqOgr2byxV,SunnyMHBlogger,anxiety
317,neutral,RT @IanChard95: Do you #stammer and experience #socialanxiety?\n\nOur trial of VR exposure therapy for people who stammer is now recruiting v…,BhamStammering,anxiety
318,positive,Having Social Anxiety At A Party! \n\n#Visage #horror #nonbinary #twitch #gmazgul #gamerthey #socialanxiety #cats… https://t.co/XH3jioWjqq,QueenGmazgul,anxiety
319,positive,"How to Handle #SocialAnxiety, #PTSD &amp; More from #COVID | MedCircle ♻️\nhttps://t.co/q6HFC7l21p",eldiosmercurio,anxiety
320,positive,"Call 1800-599-0019 to reach KIRAN, a 24/7 national helpline set by the ministry of social justice.\n.\n.\n.\n#letstalk… https://t.co/S1BNG0B6r7",TheUnitedIndia2,anxiety
321,negative,📷 #keepitweird #weird #awkward #socialanxiety #anxiety #awkwardness -TJ https://t.co/jsTbu0Mwft https://t.co/xaLaHYOVIk,FTNerdy,anxiety
322,negative,#keepitweird #weird #awkward #socialanxiety #anxiety #awkwardness -TJ https://t.co/T5iICm2zrO,FTNerdy,anxiety
323,positive,RT @FallonRGoodman: Struggling with social anxiety? \n\nMy lab put together a (vetted) list of free resources on social anxiety: https://t.co…,CalculatingMind,anxiety
324,positive,#Introverts #IntrovertLife #Introvert #IntrovertProblems #ISTJ #Recluse #SocialAnxiety #SilenceIsGolden #Peaceful… https://t.co/m1VrBe5fXq,proofreaderjkkk,anxiety
325,negative,"RT @TheHavenMH: Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport #mentalhealth #d…",ensayimada,anxiety
326,negative,"RT @TheHavenMH: Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport #mentalhealth #d…",MentalHRetweet,anxiety
327,negative,"RT @TheHavenMH: Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport #mentalhealth #d…",beautflChillz,anxiety
328,negative,"Visit The Haven, an 18+ mental health peer support community on Discord, open to everyone. 🧡\n\n#peersupport… https://t.co/XI8rg9sd0c",TheHavenMH,anxiety
329,positive,"RT @swisscyberforum: Industrial control systems have become more connected, and it is vital to regularly prioritize the #risks of severe #a…",HillRali,anxiety
330,positive,"Industrial control systems have become more connected, and it is vital to regularly prioritize the #risks of severe… https://t.co/LFMLNEsYql",swisscyberforum,anxiety
331,positive,Stop #attacks and #violence on young #lawyers.\nThe Bar Council should play its role in arresting those involved in… https://t.co/X9yA9r3Scy,ahmedyar_ayar,anxiety
332,neutral,RT @joeclark947: @kaspersky @avast_antivirus @AVGFree @ESET @Bitdefender @Malwarebytes @Sophos @CIOonline @TheHackersNews @symantec @cyber…,sectest9,anxiety
333,neutral,RT @news_ghana: Zambian organization trying to protect albinos amid attacks https://t.co/YvAkZCUtA7 #FeaturedArticles #amid #attacks #CAFS…,mideasltd,anxiety
334,neutral,Zambian organization trying to protect albinos amid attacks https://t.co/YvAkZCUtA7 #FeaturedArticles #amid… https://t.co/zDxvNjutoF,news_ghana,anxiety
335,neutral,RT @joeclark947: @kaspersky @avast_antivirus @AVGFree @ESET @Bitdefender @Malwarebytes @Sophos @CIOonline @TheHackersNews @symantec @cyber…,joeclark947,anxiety
336,neutral,RT @joeclark947: @kaspersky @avast_antivirus @AVGFree @ESET @Bitdefender @CIOonline @TheHackersNews @symantec @cyber @WIRED @Cisco @Microso…,joeclark947,anxiety
337,neutral,RT @Infosec_Train: CEH v11 Certification Training\n\nEnroll Now: https://t.co/mNZHQE5lrn\nEmail: sales@infosectrain.com\n\n#ceh #informationsecu…,cybersec_feeds,anxiety
